customer_id,region,state,city,gender,age_bracket,signup_source,first_order_date
C00000,North,Kerala,New Delhi,Other,25-34,Email,2024-09-07
C00001,South,Delhi,Jaipur,Female,35-44,Paid Search,2024-01-15
C00002,North,Kerala,Coimbatore,Prefer not to say,18-24,Organic,2025-07-18
C00003,North,Karnataka,Bengaluru,Male,18-24,Referral,2024-03-05
C00004,Central,Delhi,Mysuru,Female,35-44,Social,2025-07-21
C00005,Central,Uttar Pradesh,Kolkata,Prefer not to say,18-24,Email,2024-02-20
C00006,Central,Delhi,Bhubaneswar,Other,45-54,Organic,2024-02-15
C00007,South,Punjab,Bengaluru,Prefer not to say,25-34,Organic,2025-07-16
C00008,South,Gujarat,Lucknow,Male,25-34,Paid Search,2024-05-23
C00009,North,Punjab,Kochi,Female,25-34,Organic,2024-09-22
C00010,East,West Bengal,New Delhi,Other,35-44,Organic,2024-03-03
C00011,North,Madhya Pradesh,Lucknow,Prefer not to say,25-34,Organic,2025-01-25
C00012,West,Uttar Pradesh,New Delhi,Female,25-34,Referral,2024-11-11
C00013,Central,Uttar Pradesh,Indore,Other,25-34,Paid Search,2024-09-08
C00014,North,Madhya Pradesh,Kolkata,Female,35-44,Organic,2024-04-03
C00015,East,Kerala,Jaipur,Female,35-44,Organic,2024-04-12
C00016,North,Bihar,Jaipur,Prefer not to say,18-24,Email,2024-06-01
C00017,East,Telangana,Bhubaneswar,Male,55-64,Referral,2024-02-25
C00018,South,Gujarat,Gurugram,Other,25-34,Organic,2024-02-06
C00019,Central,Haryana,Chennai,Male,35-44,Paid Search,2024-11-04
C00020,South,Uttar Pradesh,Jaipur,Prefer not to say,18-24,Paid Search,2024-06-17
C00021,Central,West Bengal,Lucknow,Male,18-24,Email,2024-07-06
C00022,North,Kerala,Kochi,Male,25-34,Social,2024-07-30
C00023,East,Bihar,Mumbai,Prefer not to say,25-34,Paid Search,2024-02-27
C00024,South,Telangana,Chennai,Other,35-44,Organic,2024-07-14
