campaign_id,channel,campaign_name,start_date,end_date,spend
CAM0001,Search,Search-2024-01,2024-01-06,2024-01-27,4514.09
CAM0002,Social,Social-2024-01,2024-01-05,2024-01-23,10200.98
CAM0003,Email,Email-2024-01,2024-01-10,2024-02-02,9493.54
CAM0004,Affiliate,Affiliate-2024-01,2024-01-09,2024-01-20,3265.33
CAM0005,Display,Display-2024-01,2024-01-09,2024-01-21,7954.87
CAM0006,Search,Search-2024-02,2024-02-09,2024-03-04,12760.83
CAM0007,Social,Social-2024-02,2024-02-08,2024-02-24,14797.17
CAM0008,Email,Email-2024-02,2024-02-04,2024-02-15,2783.91
CAM0009,Affiliate,Affiliate-2024-02,2024-02-05,2024-02-16,10939.37
CAM0010,Display,Display-2024-02,2024-02-02,2024-02-16,10294.46
CAM0011,Search,Search-2024-03,2024-03-01,2024-03-25,5667.85
CAM0012,Social,Social-2024-03,2024-03-02,2024-03-25,11492.94
CAM0013,Email,Email-2024-03,2024-03-08,2024-03-22,8400.51
CAM0014,Affiliate,Affiliate-2024-03,2024-03-01,2024-03-11,1019.9
CAM0015,Display,Display-2024-03,2024-03-10,2024-03-29,12030.55
CAM0016,Search,Search-2024-04,2024-04-03,2024-04-20,13689.81
CAM0017,Social,Social-2024-04,2024-04-08,2024-05-01,8859.47
CAM0018,Email,Email-2024-04,2024-04-10,2024-04-26,1628.14
CAM0019,Affiliate,Affiliate-2024-04,2024-04-02,2024-04-13,6731.31
CAM0020,Display,Display-2024-04,2024-04-07,2024-04-20,6654.37
CAM0021,Search,Search-2024-05,2024-05-04,2024-05-22,2419.71
CAM0022,Social,Social-2024-05,2024-05-09,2024-05-25,2955.94
CAM0023,Email,Email-2024-05,2024-05-10,2024-06-03,8578.6
CAM0024,Affiliate,Affiliate-2024-05,2024-05-10,2024-05-22,9545.76
CAM0025,Display,Display-2024-05,2024-05-07,2024-05-29,10528.73
CAM0026,Search,Search-2024-06,2024-06-09,2024-07-01,6067.36
CAM0027,Social,Social-2024-06,2024-06-04,2024-06-17,10969.53
CAM0028,Email,Email-2024-06,2024-06-01,2024-06-23,1182.35
CAM0029,Affiliate,Affiliate-2024-06,2024-06-07,2024-06-29,9531.71
CAM0030,Display,Display-2024-06,2024-06-04,2024-06-15,10419.07
CAM0031,Search,Search-2024-07,2024-07-09,2024-08-02,11057.49
CAM0032,Social,Social-2024-07,2024-07-03,2024-07-14,6627.95
CAM0033,Email,Email-2024-07,2024-07-06,2024-07-26,13390.9
CAM0034,Affiliate,Affiliate-2024-07,2024-07-10,2024-07-28,6242.54
CAM0035,Display,Display-2024-07,2024-07-01,2024-07-21,8215.24
CAM0036,Search,Search-2024-08,2024-08-07,2024-08-23,13051.22
CAM0037,Social,Social-2024-08,2024-08-04,2024-08-15,10541.81
CAM0038,Email,Email-2024-08,2024-08-05,2024-08-27,10584.94
CAM0039,Affiliate,Affiliate-2024-08,2024-08-09,2024-08-23,6717.9
CAM0040,Display,Display-2024-08,2024-08-04,2024-08-27,12916.76
CAM0041,Search,Search-2024-09,2024-09-01,2024-09-15,14496.4
CAM0042,Social,Social-2024-09,2024-09-09,2024-09-20,6501.16
CAM0043,Email,Email-2024-09,2024-09-03,2024-09-20,1231.32
CAM0044,Affiliate,Affiliate-2024-09,2024-09-03,2024-09-18,12615.6
CAM0045,Display,Display-2024-09,2024-09-05,2024-09-19,5998.49
CAM0046,Search,Search-2024-10,2024-10-06,2024-10-17,12794.87
CAM0047,Social,Social-2024-10,2024-10-01,2024-10-22,2684.57
CAM0048,Email,Email-2024-10,2024-10-04,2024-10-18,4597.28
CAM0049,Affiliate,Affiliate-2024-10,2024-10-07,2024-10-31,7980.37
CAM0050,Display,Display-2024-10,2024-10-10,2024-10-28,3871.88
CAM0051,Search,Search-2024-11,2024-11-10,2024-11-29,14067.21
CAM0052,Social,Social-2024-11,2024-11-01,2024-11-18,6308.99
CAM0053,Email,Email-2024-11,2024-11-03,2024-11-23,5824.94
CAM0054,Affiliate,Affiliate-2024-11,2024-11-05,2024-11-19,7221.43
CAM0055,Display,Display-2024-11,2024-11-09,2024-11-21,11607.3
CAM0056,Search,Search-2024-12,2024-12-09,2024-12-30,14598.13
CAM0057,Social,Social-2024-12,2024-12-10,2024-12-31,13149.59
CAM0058,Email,Email-2024-12,2024-12-04,2024-12-26,5678.57
CAM0059,Affiliate,Affiliate-2024-12,2024-12-06,2024-12-24,6814.87
CAM0060,Display,Display-2024-12,2024-12-03,2024-12-18,2141.15
CAM0061,Search,Search-2025-01,2025-01-07,2025-01-31,5619.94
CAM0062,Social,Social-2025-01,2025-01-03,2025-01-26,9684.24
CAM0063,Email,Email-2025-01,2025-01-09,2025-01-22,12004.6
CAM0064,Affiliate,Affiliate-2025-01,2025-01-03,2025-01-18,1272.29
CAM0065,Display,Display-2025-01,2025-01-02,2025-01-12,11544.43
CAM0066,Search,Search-2025-02,2025-02-07,2025-02-25,3662.61
CAM0067,Social,Social-2025-02,2025-02-10,2025-02-25,5340.0
CAM0068,Email,Email-2025-02,2025-02-03,2025-02-18,12881.51
CAM0069,Affiliate,Affiliate-2025-02,2025-02-07,2025-02-25,7440.17
CAM0070,Display,Display-2025-02,2025-02-05,2025-02-18,2035.03
CAM0071,Search,Search-2025-03,2025-03-01,2025-03-14,5020.02
CAM0072,Social,Social-2025-03,2025-03-07,2025-03-20,1907.94
CAM0073,Email,Email-2025-03,2025-03-01,2025-03-11,6473.18
CAM0074,Affiliate,Affiliate-2025-03,2025-03-05,2025-03-21,4404.26
CAM0075,Display,Display-2025-03,2025-03-08,2025-03-19,7592.03
CAM0076,Search,Search-2025-04,2025-04-10,2025-05-04,4849.88
CAM0077,Social,Social-2025-04,2025-04-05,2025-04-18,5426.49
CAM0078,Email,Email-2025-04,2025-04-01,2025-04-12,8638.98
CAM0079,Affiliate,Affiliate-2025-04,2025-04-08,2025-04-26,14262.74
CAM0080,Display,Display-2025-04,2025-04-06,2025-04-19,14756.23
CAM0081,Search,Search-2025-05,2025-05-09,2025-06-01,4932.05
CAM0082,Social,Social-2025-05,2025-05-06,2025-05-29,14731.43
CAM0083,Email,Email-2025-05,2025-05-03,2025-05-19,13342.61
CAM0084,Affiliate,Affiliate-2025-05,2025-05-01,2025-05-21,6697.35
CAM0085,Display,Display-2025-05,2025-05-08,2025-05-23,11596.13
CAM0086,Search,Search-2025-06,2025-06-07,2025-07-01,3732.02
CAM0087,Social,Social-2025-06,2025-06-06,2025-06-24,6980.85
CAM0088,Email,Email-2025-06,2025-06-06,2025-06-22,8228.42
