order_item_id,order_id,product_id,quantity,unit_price,discount,estimated_cost
OI0000001,O000000,P00060,3,2053.85,0.05,3760.77
OI0000002,O000000,P00413,1,4107.75,0.14,4078.84
OI0000003,O000000,P00462,3,2964.77,0.07,6913.89
OI0000004,O000001,P00326,2,732.07,0.0,971.4
OI0000005,O000002,P00415,1,3252.15,0.12,3240.23
OI0000006,O000002,P00499,1,3102.61,0.0,2239.41
OI0000007,O000003,P00227,1,3813.86,0.0,3250.53
OI0000008,O000003,P00322,1,2597.42,0.06,2215.55
OI0000009,O000004,P00012,1,2360.11,0.01,1460.74
OI0000010,O000004,P00770,1,2207.52,0.03,1357.52
OI0000011,O000005,P00642,2,889.57,0.11,1726.88
OI0000012,O000005,P00638,3,218.8,0.15,625.8
OI0000013,O000006,P00114,1,3774.46,0.17,2880.86
OI0000014,O000006,P00769,4,10332.57,0.06,31738.6
OI0000015,O000007,P00555,2,1644.32,0.08,2548.56
OI0000016,O000007,P00155,1,528.58,0.0,381.16
OI0000017,O000007,P00741,1,8528.81,0.17,8458.78
OI0000018,O000008,P00201,1,4631.32,0.04,3902.88
OI0000019,O000009,P00709,3,4428.43,0.11,10833.81
OI0000020,O000009,P00406,1,1545.13,0.03,1215.3
OI0000021,O000010,P00763,1,2212.09,0.01,1286.6
OI0000022,O000010,P00495,2,1894.89,0.01,2795.08
OI0000023,O000010,P00240,2,1848.73,0.07,3007.7
OI0000024,O000010,P00453,1,3002.43,0.08,2262.9
OI0000025,O000011,P00264,2,2379.15,0.02,3141.76
OI0000026,O000011,P00233,1,6106.45,0.01,3694.64
OI0000027,O000012,P00075,2,4169.19,0.12,7888.78
OI0000028,O000012,P00400,2,31181.58,0.1,44422.7
OI0000029,O000013,P00088,1,11823.55,0.05,7739.77
OI0000030,O000014,P00275,4,1177.0,0.04,3365.12
OI0000031,O000014,P00623,1,2150.12,0.0,1860.31
OI0000032,O000014,P00191,2,4234.94,0.06,7615.14
OI0000033,O000014,P00088,3,10578.96,0.15,23219.31
OI0000034,O000015,P00442,2,3299.7,0.02,5326.8
OI0000035,O000016,P00245,1,11028.71,0.0,7884.0
OI0000036,O000017,P00537,1,2265.46,0.0,1428.06
OI0000037,O000017,P00473,1,3825.52,0.0,2202.66
OI0000038,O000018,P00011,2,6441.94,0.0,8147.72
OI0000039,O000018,P00511,1,1817.22,0.0,1041.03
OI0000040,O000018,P00722,4,4576.78,0.07,13626.12
OI0000041,O000019,P00624,1,2389.24,0.0,1882.27
OI0000042,O000019,P00092,2,389.19,0.16,652.76
OI0000043,O000020,P00219,2,157.0,0.15,298.82
OI0000044,O000020,P00630,2,2222.19,0.0,2892.8
OI0000045,O000021,P00690,1,50101.37,0.0,28573.12
OI0000046,O000021,P00495,1,1799.19,0.06,1397.54
OI0000047,O000021,P00229,3,1116.76,0.05,2469.54
OI0000048,O000021,P00498,2,1704.78,0.0,2420.98
OI0000049,O000022,P00316,1,1075.4,0.12,934.65
OI0000050,O000022,P00314,3,2011.86,0.12,4951.08
OI0000051,O000023,P00003,1,5061.41,0.14,5092.38
OI0000052,O000023,P00209,1,4439.68,0.0,3076.71
OI0000053,O000023,P00224,1,1838.47,0.08,1264.72
OI0000054,O000024,P00236,1,1573.98,0.0,1135.14
OI0000055,O000025,P00292,2,361.07,0.01,537.78
OI0000056,O000025,P00585,1,2082.18,0.0,1334.25
OI0000057,O000025,P00558,1,1092.25,0.06,804.6
OI0000058,O000026,P00123,1,237.96,0.16,194.31
OI0000059,O000027,P00040,1,11752.56,0.06,8198.63
OI0000060,O000027,P00089,2,3367.13,0.05,4642.68
OI0000061,O000028,P00419,2,2428.09,0.0,2975.58
OI0000062,O000028,P00106,1,1411.32,0.1,1072.31
OI0000063,O000028,P00585,3,2082.18,0.0,4002.75
OI0000064,O000028,P00490,1,11745.08,0.0,9073.5
OI0000065,O000028,P00280,1,9158.8,0.16,6534.92
OI0000066,O000029,P00614,1,2421.09,0.0,1857.78
OI0000067,O000030,P00080,1,2526.75,0.03,1772.79
OI0000068,O000031,P00037,1,3532.7,0.04,2827.98
OI0000069,O000031,P00319,2,12389.39,0.07,15624.8
OI0000070,O000031,P00684,1,4965.78,0.0,3208.53
OI0000071,O000032,P00346,3,4108.56,0.16,10066.5
OI0000072,O000032,P00339,2,695.54,0.0,899.34
OI0000073,O000032,P00666,1,3521.75,0.0,2144.36
OI0000074,O000032,P00058,1,14960.61,0.0,11772.22
OI0000075,O000032,P00133,4,4856.19,0.15,15721.72
OI0000076,O000033,P00602,1,1108.52,0.19,885.02
OI0000077,O000033,P00272,1,3934.16,0.06,3597.08
OI0000078,O000033,P00445,2,1860.91,0.06,3474.7
OI0000079,O000034,P00511,1,1362.92,0.25,1041.03
OI0000080,O000034,P00293,2,1489.87,0.09,2336.8
OI0000081,O000034,P00309,1,1468.39,0.01,1274.29
OI0000082,O000035,P00416,3,4748.46,0.04,8330.31
OI0000083,O000035,P00286,1,12457.05,0.0,9792.14
OI0000084,O000035,P00016,1,2921.36,0.0,1833.85
OI0000085,O000036,P00601,1,1222.1,0.05,725.58
OI0000086,O000036,P00535,1,789.21,0.03,695.89
OI0000087,O000036,P00610,1,1518.88,0.0,1244.56
OI0000088,O000037,P00242,1,773.11,0.0,668.16
OI0000089,O000037,P00045,2,5585.8,0.05,8673.72
OI0000090,O000037,P00214,1,10190.42,0.0,7308.7
OI0000091,O000038,P00150,1,1989.97,0.07,1771.37
OI0000092,O000038,P00208,1,2649.89,0.11,2056.19
OI0000093,O000038,P00115,1,6026.14,0.06,4879.95
OI0000094,O000039,P00127,1,6001.14,0.18,5168.7
OI0000095,O000039,P00501,2,539.93,0.05,771.64
OI0000096,O000039,P00009,4,3099.28,0.18,12039.64
OI0000097,O000040,P00368,2,187.79,0.06,252.32
OI0000098,O000041,P00586,5,1463.21,0.14,7027.7
OI0000099,O000042,P00697,1,3121.6,0.11,2938.6
OI0000100,O000042,P00268,2,4214.68,0.05,4976.04
OI0000101,O000042,P00005,1,3003.26,0.1,1849.3
OI0000102,O000043,P00417,1,3555.57,0.02,2681.96
OI0000103,O000043,P00601,1,1260.69,0.02,725.58
OI0000104,O000044,P00787,1,3491.58,0.09,2921.89
OI0000105,O000044,P00739,2,4551.2,0.0,7711.86
OI0000106,O000045,P00644,2,3147.31,0.1,5854.94
OI0000107,O000046,P00430,1,2570.21,0.07,1693.5
OI0000108,O000046,P00175,2,33082.55,0.14,56555.14
OI0000109,O000046,P00434,1,145.38,0.15,145.44
OI0000110,O000046,P00167,4,39805.08,0.08,117342.68
OI0000111,O000047,P00691,3,3976.21,0.24,13482.06
OI0000112,O000047,P00319,1,12256.18,0.08,7812.4
OI0000113,O000047,P00135,2,5067.75,0.06,8639.24
OI0000114,O000047,P00092,1,463.32,0.0,326.38
OI0000115,O000047,P00381,2,3794.92,0.02,4644.84
OI0000116,O000048,P00578,1,35198.6,0.12,29487.1
OI0000117,O000048,P00493,1,2437.72,0.0,1669.64
OI0000118,O000049,P00305,1,6012.06,0.0,4396.59
OI0000119,O000049,P00759,1,2174.85,0.0,1883.07
OI0000120,O000050,P00022,3,194.28,0.0,473.79
OI0000121,O000051,P00611,2,2560.02,0.12,4297.02
OI0000122,O000051,P00732,3,11368.31,0.02,21921.87
OI0000123,O000051,P00050,1,5682.86,0.03,4077.06
OI0000124,O000051,P00770,1,2002.7,0.12,1357.52
OI0000125,O000052,P00165,1,26810.62,0.0,20601.86
OI0000126,O000053,P00379,2,4111.42,0.03,5217.92
OI0000127,O000053,P00435,3,159.71,0.04,411.3
OI0000128,O000053,P00147,1,1558.65,0.05,1358.88
OI0000129,O000054,P00619,1,1598.55,0.11,1339.5
OI0000130,O000054,P00184,1,2379.52,0.08,1453.54
OI0000131,O000055,P00623,3,1999.61,0.07,5580.93
OI0000132,O000055,P00270,1,1379.48,0.0,901.33
OI0000133,O000055,P00022,3,194.28,0.0,473.79
OI0000134,O000056,P00203,1,3210.83,0.0,2458.72
OI0000135,O000057,P00518,4,5539.53,0.0,17658.84
OI0000136,O000057,P00621,2,925.2,0.11,1286.06
OI0000137,O000057,P00742,1,10977.83,0.01,6925.86
OI0000138,O000058,P00040,1,12502.72,0.0,8198.63
OI0000139,O000058,P00548,1,12372.81,0.14,8602.81
