payment_id,order_id,payment_method,payment_status,amount,shipping_fee
PAYAH3SMFEJ,O000000,UPI,Paid,19163.61,0
PAYQL37546F,O000001,UPI,Paid,1464.14,0
PAYN9HFEOAL,O000002,COD,Paid,6354.76,0
PAY1YN4CBUW,O000003,Net Banking,Paid,6411.28,0
PAYW3VG29KW,O000004,UPI,Paid,4567.63,0
PAY1AAKNCME,O000005,UPI,Paid,2435.54,0
PAY6F4O7VMR,O000006,Credit Card,Refunded,45104.74,0
PAY32KX0JJU,O000007,Credit Card,Paid,12346.03,0
PAYPK5S3VKX,O000008,Debit Card,Paid,4631.32,0
PAYSNPC5DT4,O000009,UPI,Paid,14830.42,0
PAY54PW1VAO,O000010,Credit Card,Paid,12701.76,0
PAYTFBGNPQ4,O000011,UPI,Pending,10864.75,0
PAYLE5HW7W0,O000012,UPI,Paid,70701.54,0
PAYK26BPLQ9,O000013,COD,Pending,11823.55,0
PAYSDLNITQ7,O000014,UPI,Paid,47064.88,0
PAY7YY5E7SR,O000015,Debit Card,Paid,6599.4,0
PAYKFF29202,O000016,Net Banking,Paid,11028.71,0
PAYADL7GEW1,O000017,Credit Card,Paid,6090.98,0
PAYE6JDVZLS,O000018,UPI,Paid,33008.22,0
PAYG5CSOAAZ,O000019,UPI,Paid,3167.62,0
PAYDJBH79IH,O000020,COD,Paid,4758.38,0
PAYNB2ZF1YH,O000021,UPI,Paid,58660.4,0
PAYC41O5OGI,O000022,UPI,Paid,7110.98,0
PAY4MEIADNC,O000023,Net Banking,Paid,11339.56,0
PAYCB2HPU1F,O000024,UPI,Paid,1573.98,0
PAYH7AM1MC4,O000025,Debit Card,Paid,3896.57,0
PAYXWI7G3C3,O000026,UPI,Paid,296.96,59
PAY6F5A83UD,O000027,Credit Card,Paid,18486.82,0
PAYQBUYGRX2,O000028,Debit Card,Paid,33417.92,0
PAYQMRLWPOE,O000029,UPI,Paid,2421.09,0
PAYCQZ09JD4,O000030,COD,Paid,2526.75,0
PAYMK8456M8,O000031,Debit Card,Paid,33277.26,0
PAYVG7CFT8S,O000032,Net Banking,Paid,51623.88,0
PAYADGYMJJQ,O000033,COD,Paid,8764.5,0
PAYGFJ2DZKW,O000034,Credit Card,Paid,5811.05,0
PAYUHBP0FL8,O000035,Debit Card,Paid,29623.79,0
PAYJPL2CGCT,O000036,Credit Card,Paid,3530.19,0
PAYGLFVQUE1,O000037,Net Banking,Paid,22135.13,0
PAYHBX7VEHY,O000038,Credit Card,Paid,10666.0,0
PAY57C34FZ9,O000039,Debit Card,Paid,19478.12,0
PAYDT2MD6T5,O000040,Net Banking,Paid,414.58,39
PAYY7FELHDZ,O000041,Wallet,Paid,7316.05,0
PAYHWMAK5W4,O000042,Credit Card,Paid,14554.22,0
PAY05D3NIOW,O000043,Debit Card,Paid,4816.26,0
PAYPXS8DQE0,O000044,Credit Card,Paid,12593.98,0
PAY5LVPF7J5,O000045,UPI,Paid,6294.62,0
PAYOLVOR71Y,O000046,Net Banking,Pending,228101.01,0
PAY3OVQZFW3,O000047,Wallet,Paid,42373.47,0
PAYBWEEEC68,O000048,UPI,Paid,37636.32,0
PAYRKK6TX2I,O000049,Net Banking,Paid,8186.91,0
PAYKBE0QAB7,O000050,Net Banking,Paid,641.84,59
PAYUR8WOIEE,O000051,COD,Paid,46910.53,0
PAYL873QEO7,O000052,UPI,Refunded,26810.62,0
PAYP58CO9BJ,O000053,Debit Card,Paid,10260.62,0
PAYMTY0SX22,O000054,COD,Paid,3978.07,0
PAYJEM600SK,O000055,Debit Card,Paid,7961.15,0
PAYMSU9KDP5,O000056,UPI,Paid,3210.83,0
PAYRO8Q88MG,O000057,Net Banking,Paid,34986.35,0
PAY4DQTHGCN,O000058,UPI,Refunded,34404.45,0
PAYTDON4OK8,O000059,UPI,Paid,15623.18,0
PAYSM0V7CKX,O000060,Net Banking,Paid,19380.49,0
PAYN90TPZK3,O000061,Credit Card,Paid,10158.24,0
PAYGMG5WAAE,O000062,COD,Paid,4227.6,0
PAYCHG74L8O,O000063,Net Banking,Paid,6829.71,0
