session_id,customer_id,session_start,source,medium,campaign_id,device,pages_viewed,duration_seconds,bounced
SESSRX8Z7LPCB1,,2024-05-01,Paid Search,CPC,,Desktop,5,102,0
SESSYJR8JFVFNE,,2024-01-10,Paid Search,CPC,,Mobile,1,142,1
SESSD3GZU29CCS,C03411,2024-11-11,Organic,SEO,,Mobile,2,5,1
SESS9IFG05PV6U,,2024-09-29,Direct,Direct,,Mobile,1,199,1
SESS9TO0OGRGDY,,2024-11-01,Paid Search,CPC,,Mobile,1,232,1
SESSVJBAFGFWKP,,2024-07-28,Social,Social,CAM0072,Desktop,8,259,0
SESSSP59D59NEJ,,2025-04-08,Paid Search,CPC,,Mobile,1,192,1
SESSNETCJQU9G6,,2025-02-19,Social,Social,CAM0027,Mobile,1,400,1
SESS522NGRBRJX,C05012,2024-08-03,Social,Social,CAM0067,Desktop,1,169,1
SESSNM3TIXLSD5,,2024-03-20,Direct,Direct,,Mobile,8,445,0
SESS5V1FA3S00J,C02141,2025-04-24,Organic,SEO,CAM0016,Mobile,7,265,0
SESSORG5KNXKHN,,2025-06-30,Social,Social,CAM0032,Tablet,6,251,0
SESS385O91MOYO,C06008,2024-01-18,Referral,Referral,,Desktop,1,239,1
SESSHSMFOD5BND,,2024-06-13,Organic,SEO,CAM0061,Mobile,4,40,0
SESSWE2SN7HIZ3,C06605,2025-06-08,Affiliate,Affiliate,,Mobile,2,325,0
SESSRV7PG0QOPF,,2024-07-20,Organic,SEO,,Mobile,1,5,1
SESSXB9KI3LT0G,,2024-12-11,Affiliate,Affiliate,,Desktop,8,223,0
SESSUWUK9I4EXE,C00798,2024-12-31,Referral,Referral,,Mobile,6,213,0
SESSRTAOK31VMU,C04042,2025-03-23,Direct,Direct,,Mobile,5,473,0
SESS3IJR3L3B72,C06124,2025-05-27,Organic,SEO,,Mobile,1,301,1
SESS78ZAG9EA6F,,2024-11-14,Organic,SEO,,Desktop,2,319,0
SESSWGIPTZU96X,C06966,2024-08-04,Organic,SEO,,Tablet,1,205,1
SESSF66EAVUULV,,2024-02-03,Direct,Direct,,Mobile,6,5,1
SESSXMADX17N9K,C05758,2024-09-22,Organic,SEO,,Desktop,1,179,1
SESSRZT7PDPZ89,C04713,2024-03-20,Social,Social,,Mobile,1,5,1
SESSH7C6JF2IXU,,2025-02-16,Direct,Direct,,Mobile,5,113,0
SESS6IQD1WYT61,,2024-09-08,Paid Search,CPC,,Mobile,8,365,0
SESSH15ERJGWD6,,2024-01-12,Referral,Referral,,Mobile,1,34,1
SESSY2L8392IWB,C06966,2025-02-04,Paid Search,CPC,,Desktop,2,289,0
SESSU0VCKHA8QW,,2024-10-08,Social,Social,,Mobile,3,157,0
SESSP6J076QHK1,,2024-04-21,Social,Social,CAM0077,Tablet,2,111,0
SESS6CZRM7IAVS,,2025-01-12,Referral,Referral,,Mobile,5,222,0
SESSBAEU72GWYO,C04277,2024-09-24,Organic,SEO,,Mobile,1,164,1
SESSBWPVRMO3NT,,2024-10-24,Paid Search,CPC,,Mobile,3,193,0
SESSAAFVBTRO2F,C03029,2024-11-12,Affiliate,Affiliate,,Mobile,2,514,0
SESSQTZGF06CSM,C03293,2025-07-23,Organic,SEO,CAM0016,Mobile,8,197,0
SESSMLO09FLW35,C01449,2025-05-23,Organic,SEO,,Mobile,1,330,1
SESS9KQO3455R8,,2025-06-29,Social,Social,,Mobile,1,235,1
SESSO61BTR9I2B,C07993,2024-12-30,Referral,Referral,,Mobile,1,290,1
SESSL264W7DDQS,,2025-06-30,Organic,SEO,CAM0031,Mobile,1,249,1
SESSSF4YUECSKI,,2024-09-27,Organic,SEO,CAM0086,Mobile,4,29,0
SESS092ZE6CATQ,,2025-04-18,Social,Social,,Mobile,1,116,1
SESS1JWGQS4BH1,C06349,2025-06-20,Social,Social,CAM0067,Desktop,1,111,1
SESSJTLQSP2THA,C04460,2024-08-21,Organic,SEO,CAM0091,Mobile,3,210,0
SESSI2YCEIKRVO,C03007,2024-02-28,Affiliate,Affiliate,,Desktop,1,5,1
SESSE3SVPAGXHC,,2024-09-07,Paid Search,CPC,CAM0026,Mobile,7,70,0
SESS0JBTO5G6T2,,2024-03-26,Social,Social,,Desktop,1,5,1
SESSVRAVWKJMDR,C04480,2025-01-24,Paid Search,CPC,,Mobile,1,178,1
SESSPINUYWQNBE,,2024-06-28,Email,Email,CAM0098,Mobile,9,102,0
SESSJN64N0YANN,,2024-05-28,Organic,SEO,CAM0001,Mobile,4,30,0
SESS2VRMMOF8SW,C05104,2025-08-05,Direct,Direct,,Mobile,4,95,0
SESSF1E0GUNX2C,C01213,2024-04-30,Organic,SEO,CAM0026,Mobile,6,50,0
SESSAYXZUE59FO,,2024-09-12,Paid Search,CPC,,Mobile,3,310,0
SESSO5QZU3MK3T,,2024-11-04,Social,Social,CAM0002,Desktop,7,197,0
SESSW59GR335KY,,2024-02-28,Organic,SEO,,Mobile,9,226,0
SESSF0MGMEKHBC,,2024-03-09,Organic,SEO,,Mobile,16,86,0
