order_id,customer_id,order_date,channel,device,campaign_id,delivery_days,status,ship_state,ship_city
O000000,C06731,2024-07-18,Mobile App,Mobile,CAM0033,2,Completed,Uttar Pradesh,Mumbai
O000001,C05136,2024-09-27,Website,Mobile,,3,Completed,Tamil Nadu,Vadodara
O000002,C04189,2024-02-20,Website,Mobile,CAM0007,5,Shipped,Uttar Pradesh,Vadodara
O000003,C00805,2025-05-03,Mobile App,Mobile,,4,Completed,Karnataka,Coimbatore
O000004,C04131,2024-07-16,Website,Desktop,CAM0035,3,Completed,Uttar Pradesh,Mysuru
O000005,C02687,2024-01-23,Website,Mobile,,5,Completed,Haryana,Chennai
O000006,C06421,2024-08-10,Mobile App,Desktop,CAM0037,5,Completed,Madhya Pradesh,Chandigarh
O000007,C03877,2024-08-08,Mobile App,Desktop,,2,Completed,Kerala,Patna
O000008,C06096,2024-09-22,Website,Desktop,,3,Completed,Telangana,Gurugram
O000009,C00351,2024-03-13,Mobile App,Tablet,,4,Completed,Tamil Nadu,Kolkata
O000010,C07424,2024-03-17,Mobile App,Mobile,,4,Shipped,Maharashtra,Surat
O000011,C00069,2025-06-27,Website,Mobile,,2,Completed,Maharashtra,Surat
O000012,C04946,2025-03-10,Marketplace,Desktop,CAM0075,5,Completed,Bihar,Surat
O000013,C00219,2024-03-05,Website,Desktop,,5,Completed,Karnataka,Mysuru
O000014,C02742,2024-12-22,Mobile App,Mobile,CAM0057,4,Completed,Tamil Nadu,Chennai
O000015,C07000,2024-01-18,Website,Mobile,CAM0003,3,Completed,Kerala,Kolkata
O000016,C05427,2025-07-19,Mobile App,Mobile,,3,Completed,Delhi,Kochi
O000017,C05427,2025-07-28,Mobile App,Mobile,,4,Completed,West Bengal,Coimbatore
O000018,C06828,2025-03-11,Website,Desktop,,4,Completed,Haryana,Kolkata
O000019,C04852,2025-03-16,Mobile App,Mobile,,3,Completed,Maharashtra,Bhubaneswar
O000020,C04183,2024-01-09,Marketplace,Mobile,CAM0001,4,Completed,Tamil Nadu,Jaipur
O000021,C05665,2025-04-14,Website,Mobile,,5,Shipped,Punjab,Patna
O000022,C05866,2024-12-13,Marketplace,Mobile,,3,Completed,Odisha,Chandigarh
O000023,C07573,2025-01-06,Mobile App,Mobile,,5,Completed,Rajasthan,Mumbai
O000024,C00402,2024-06-23,Marketplace,Desktop,CAM0028,5,Completed,Telangana,Chennai
O000025,C01381,2025-05-29,Mobile App,Mobile,,2,Returned,Odisha,Pune
O000026,C01948,2024-05-09,Website,Mobile,,3,Completed,Maharashtra,Bengaluru
O000027,C03936,2025-07-19,Website,Desktop,,4,Completed,Bihar,Kolkata
O000028,C04075,2024-10-19,Mobile App,Mobile,,3,Completed,Haryana,Coimbatore
O000029,C02746,2024-12-18,Mobile App,Mobile,CAM0056,3,Completed,Odisha,Surat
O000030,C02030,2024-08-11,Mobile App,Desktop,,2,Completed,Maharashtra,Vadodara
O000031,C05434,2025-06-07,Mobile App,Mobile,,3,Completed,Maharashtra,Mysuru
O000032,C00678,2025-05-23,Website,Tablet,,4,Completed,Punjab,Pune
O000033,C00905,2025-01-02,Website,Desktop,CAM0065,4,Completed,Telangana,Mumbai
O000034,C00540,2025-08-12,Website,Mobile,,4,Completed,Gujarat,Bengaluru
O000035,C06922,2025-05-14,Mobile App,Desktop,,5,Completed,Maharashtra,Jaipur
O000036,C03062,2024-03-30,Website,Desktop,,4,Completed,Haryana,Kolkata
O000037,C00784,2024-03-12,Website,Tablet,,3,Completed,Punjab,Ahmedabad
O000038,C05494,2025-03-08,Mobile App,Desktop,,5,Completed,Karnataka,Jaipur
O000039,C06384,2024-12-13,Marketplace,Tablet,CAM0057,3,Completed,Telangana,Lucknow
O000040,C01172,2024-09-19,Mobile App,Mobile,,2,Completed,Madhya Pradesh,Gurugram
O000041,C04702,2024-09-27,Website,Desktop,,4,Completed,West Bengal,Bengaluru
O000042,C05830,2025-05-23,Mobile App,Desktop,,5,Shipped,Rajasthan,Chennai
O000043,C00512,2025-05-22,Website,Desktop,CAM0082,4,Completed,Telangana,Mysuru
O000044,C03541,2025-02-23,Mobile App,Tablet,,4,Completed,Rajasthan,Chandigarh
O000045,C06010,2024-03-12,Mobile App,Mobile,,2,Completed,Gujarat,Mumbai
O000046,C01531,2024-03-14,Mobile App,Mobile,CAM0012,3,Completed,Bihar,Pune
O000047,C07063,2025-05-17,Website,Mobile,,5,Completed,Rajasthan,Gurugram
O000048,C04790,2025-07-27,Website,Mobile,,4,Completed,Punjab,Hyderabad
O000049,C07351,2024-05-25,Mobile App,Mobile,CAM0023,3,Cancelled,Gujarat,Bhubaneswar
O000050,C06915,2024-02-15,Mobile App,Mobile,,6,Completed,Tamil Nadu,Jaipur
O000051,C07784,2024-04-14,Mobile App,Mobile,,3,Completed,Maharashtra,Chandigarh
O000052,C00132,2024-04-18,Mobile App,Mobile,,4,Completed,Punjab,Kolkata
O000053,C00131,2024-11-12,Website,Mobile,,5,Completed,Maharashtra,Chandigarh
O000054,C07853,2024-04-30,Website,Desktop,CAM0017,1,Returned,Karnataka,Kolkata
O000055,C02264,2025-05-13,Website,Desktop,,4,Completed,Kerala,Pune
O000056,C02716,2024-02-12,Mobile App,Tablet,,3,Completed,Kerala,Mysuru
O000057,C02816,2024-04-08,Marketplace,Mobile,CAM0017,3,Completed,Haryana,Chennai
O000058,C05645,2024-11-06,Website,Tablet,,3,Completed,Maharashtra,Mumbai
O000059,C07009,2024-08-01,Mobile App,Desktop,,2,Completed,Gujarat,Bhubaneswar
O000060,C00050,2025-04-07,Marketplace,Desktop,CAM0080,6,Completed,Bihar,Bengaluru
O000061,C00950,2025-02-26,Website,Desktop,,2,Completed,Delhi,Surat
O000062,C02136,2025-01-23,Marketplace,Mobile,CAM0062,4,Completed,Madhya Pradesh,Chandigarh
O000063,C01185,2024-04-21,Mobile App,Desktop,CAM0018,5,Completed,Bihar,Kolkata
O000064,C03426,2024-09-28,Mobile App,Mobile,,6,Shipped,Karnataka,Patna
O000065,C04926,2024-04-11,Mobile App,Tablet,,6,Completed,West Bengal,Bhubaneswar
O000066,C03212,2024-07-28,Website,Tablet,,5,Shipped,Karnataka,Bengaluru
O000067,C00882,2024-01-22,Website,Tablet,CAM0001,4,Completed,Gujarat,Vadodara
O000068,C02254,2024-06-07,Mobile App,Mobile,,1,Completed,Madhya Pradesh,Lucknow
O000069,C00934,2024-12-08,Mobile App,Mobile,,4,Completed,West Bengal,Vadodara
O000070,C02884,2025-02-03,Website,Mobile,,2,Cancelled,Bihar,Chandigarh
O000071,C02796,2025-03-29,Mobile App,Desktop,,5,Completed,West Bengal,Vadodara
O000072,C00482,2024-05-22,Website,Desktop,,4,Completed,Delhi,Hyderabad
O000073,C04547,2025-01-31,Website,Mobile,,4,Completed,Punjab,Jaipur
O000074,C01811,2025-06-19,Mobile App,Mobile,CAM0086,3,Completed,Delhi,Bhubaneswar
O000075,C07303,2024-05-20,Marketplace,Desktop,,4,Completed,Karnataka,Bengaluru
O000076,C00242,2024-08-27,Marketplace,Desktop,CAM0040,3,Completed,Rajasthan,New Delhi
O000077,C06859,2024-10-18,Marketplace,Mobile,,4,Completed,Haryana,Kochi
O000078,C04428,2024-03-22,Website,Desktop,,4,Completed,Uttar Pradesh,Bengaluru
O000079,C06762,2025-07-13,Website,Desktop,CAM0094,4,Completed,Punjab,Bengaluru
O000080,C06487,2024-06-19,Website,Mobile,,5,Completed,Madhya Pradesh,Pune
O000081,C02497,2025-08-02,Website,Mobile,,6,Completed,Bihar,Chennai
O000082,C02311,2025-06-09,Website,Mobile,,3,Completed,Telangana,Mumbai
O000083,C07008,2025-06-25,Website,Mobile,,1,Completed,Uttar Pradesh,Patna
O000084,C00111,2024-04-19,Marketplace,Mobile,,2,Completed,Delhi,Jaipur
O000085,C05956,2024-07-30,Website,Desktop,,5,Shipped,Tamil Nadu,Kolkata
O000086,C01731,2025-03-13,Mobile App,Desktop,,1,Completed,Telangana,Kolkata
O000087,C04985,2024-11-17,Mobile App,Mobile,,6,Completed,Bihar,Bengaluru
O000088,C07139,2024-03-24,Website,Desktop,CAM0015,4,Completed,Punjab,Chandigarh
O000089,C07816,2025-01-10,Website,Desktop,CAM0064,1,Completed,Gujarat,Coimbatore
O000090,C06912,2024-02-22,Website,Desktop,,3,Completed,Punjab,Pune
O000091,C02783,2025-05-10,Mobile App,Mobile,,4,Completed,Telangana,Indore
O000092,C02601,2024-09-12,Mobile App,Mobile,CAM0045,4,Completed,Odisha,Coimbatore
O000093,C03749,2025-08-08,Marketplace,Mobile,,4,Completed,Haryana,Mysuru
O000094,C02578,2024-08-07,Mobile App,Mobile,CAM0036,4,Completed,Uttar Pradesh,Kolkata
O000095,C03498,2024-04-09,Website,Mobile,CAM0017,4,Completed,Madhya Pradesh,Ahmedabad
O000096,C00747,2024-05-08,Marketplace,Desktop,,3,Shipped,Delhi,Bhubaneswar
O000097,C04374,2024-08-06,Mobile App,Mobile,,4,Completed,Gujarat,Vadodara
O000098,C05250,2025-04-21,Mobile App,Desktop,,5,Completed,Haryana,Bengaluru
O000099,C05105,2025-04-02,Marketplace,Mobile,,3,Completed,Bihar,Surat
O000100,C02191,2024-01-22,Mobile App,Mobile,CAM0001,5,Completed,Rajasthan,Ahmedabad
O000101,C00103,2025-07-13,Website,Mobile,,2,Completed,Tamil Nadu,Mysuru
O000102,C06668,2024-11-24,Website,Mobile,,3,Completed,Bihar,Kochi
O000103,C01980,2025-04-24,Mobile App,Mobile,CAM0079,4,Completed,Odisha,Coimbatore
O000104,C02895,2024-12-04,Website,Desktop,CAM0060,2,Completed,Bihar,Hyderabad
O000105,C06337,2024-06-27,Mobile App,Mobile,,4,Completed,Kerala,Gurugram
O000106,C06252,2025-02-24,Marketplace,Mobile,,5,Completed,Uttar Pradesh,Kochi
O000107,C00603,2025-04-26,Website,Mobile,,3,Completed,Haryana,Lucknow
O000108,C02148,2024-02-18,Mobile App,Mobile,,3,Shipped,Gujarat,Kochi
O000109,C01178,2024-01-30,Website,Desktop,,2,Completed,Bihar,New Delhi
O000110,C05109,2024-03-25,Marketplace,Mobile,CAM0011,4,Completed,Delhi,Vadodara
O000111,C07210,2025-05-16,Mobile App,Desktop,,4,Completed,Punjab,New Delhi
