return_id,order_item_id,return_date,reason,refund_amount
RET7ZY36NFL,OI0040717,2025-07-20,Other,3793.99
RET22I2Z1X6,OI0032975,2024-10-21,Arrived late,3490.54
RET41R4E7I6,OI0000885,2024-05-16,Other,2394.29
RETFV4AS97K,OI0033647,2025-06-25,Size/fit,1000.73
RETY5F60287,OI0016414,2025-03-07,Wrong Item,1057.11
RETKJCT0YRT,OI0000323,2024-05-03,Size/fit,1589.33
RETIN0PKBKS,OI0030494,2024-12-09,Damaged,4227.34
RET4GLDU2M4,OI0031918,2025-08-05,Size/fit,3839.54
RETRTFDOTDL,OI0045174,2024-04-23,Arrived late,8322.91
RETK2KDXZMW,OI0024131,2025-05-01,Arrived late,7337.17
RET4OKBIJPJ,OI0043854,2025-03-10,Size/fit,1871.34
RET4LXTUB8H,OI0017864,2025-04-18,Arrived late,3526.73
RET8IWAM27I,OI0003309,2025-02-13,Wrong Item,5427.56
RETFJQ8F7ZJ,OI0028464,2025-01-18,Other,3745.33
RETS9TSXAYQ,OI0030680,2024-11-17,Size/fit,375.63
RETW39OK5A6,OI0020533,2025-03-09,Wrong Item,440.06
RETE4FD9WR7,OI0015909,2024-10-15,Other,507.61
RETJCH77ZKM,OI0004504,2024-06-09,Other,587.8
RETCDNP3PZZ,OI0029609,2025-07-17,Wrong Item,1767.53
RETG72161GF,OI0027608,2024-01-15,Not as described,2521.17
RETRKU2CEY1,OI0014262,2025-02-05,Size/fit,707.53
RET2703WWJ3,OI0026835,2025-02-04,Other,1177.19
RETM537WH2F,OI0013928,2025-06-06,Other,1046.69
RET6NYRX4NC,OI0038937,2025-03-20,Arrived late,3618.74
RETV0THG0B2,OI0026928,2025-07-26,Other,305.81
RETIP7EN1RO,OI0031317,2024-10-14,Wrong Item,3429.29
RETP3DJNQEP,OI0040264,2024-09-07,Other,1463.75
RETHDCPY7J9,OI0034433,2025-06-05,Not as described,4543.61
RETP436DW9T,OI0007328,2024-11-07,Size/fit,1460.86
RETB5PLGY7O,OI0000777,2024-03-14,Size/fit,36280.74
RETQNEX4O9D,OI0026608,2024-08-11,Other,1214.28
RETGCN9H27H,OI0029347,2025-05-13,Damaged,642.89
RETAJ10146R,OI0003105,2025-08-14,Damaged,8226.42
RETT2WPN1XH,OI0018599,2024-06-23,Wrong Item,1887.99
RET2SGJRXZ8,OI0016876,2025-03-04,Damaged,16374.42
RETB8M71YY3,OI0042088,2025-06-04,Wrong Item,3941.74
RETNIELVLB7,OI0013397,2025-02-26,Arrived late,1903.38
RET9IJ52I9K,OI0042009,2025-02-25,Wrong Item,1219.72
RET47395EQN,OI0014382,2024-05-19,Damaged,2761.27
RETRBD24QX8,OI0010599,2024-12-05,Other,15640.03
RETX3TQW77N,OI0022207,2025-06-29,Arrived late,2406.29
RETQ1OBZKLW,OI0035585,2025-05-13,Damaged,5062.69
RET10EP0XSL,OI0014897,2024-05-23,Wrong Item,2029.09
RETZMKY7JBV,OI0031673,2024-07-14,Not as described,533.63
RETARMFXF74,OI0045650,2024-06-20,Size/fit,18303.91
RET3OUDQ5ZM,OI0009890,2024-12-02,Damaged,561.48
RETSQMA3UNR,OI0036727,2025-07-13,Wrong Item,9210.4
RET431UQ7ZD,OI0026790,2024-02-25,Arrived late,916.52
RETG9PZOILN,OI0010874,2025-06-05,Damaged,8735.8
