"order_day","total_orders","revenue"
"2024-01-01","22","656506.40"
"2024-01-02","24","692165.74"
"2024-01-03","29","643780.74"
"2024-01-04","31","737329.99"
"2024-01-05","37","841420.30"
"2024-01-06","39","982938.07"
"2024-01-07","35","862372.74"
"2024-01-08","35","1008769.00"
"2024-01-09","31","517859.16"
"2024-01-10","31","658775.69"
"2024-01-11","34","1062526.16"
"2024-01-12","32","830319.19"
"2024-01-13","26","544620.64"
"2024-01-14","38","622141.98"
"2024-01-15","20","654256.21"
"2024-01-16","33","958083.29"
"2024-01-17","30","744921.04"
"2024-01-18","39","827487.87"
"2024-01-19","27","635667.12"
"2024-01-20","31","651432.35"
"2024-01-21","52","1510382.26"
"2024-01-22","35","838320.91"
"2024-01-23","33","1108708.70"
"2024-01-24","41","1017538.88"
"2024-01-25","38","876133.66"
"2024-01-26","33","982992.39"
"2024-01-27","40","1002044.17"
"2024-01-28","39","1109332.35"
"2024-01-29","27","501758.71"
"2024-01-30","41","897398.45"
"2024-01-31","36","766753.47"
"2024-02-01","31","791254.53"
"2024-02-02","32","460946.21"
"2024-02-03","23","608850.86"
"2024-02-04","39","1020632.76"
"2024-02-05","35","623659.64"
"2024-02-06","44","1001517.70"
"2024-02-07","39","764614.28"
"2024-02-08","34","829480.48"
"2024-02-09","28","938926.62"
"2024-02-10","25","643772.38"
"2024-02-11","35","865631.14"
"2024-02-12","40","1183495.32"
"2024-02-13","36","716970.24"
"2024-02-14","35","835994.35"
"2024-02-15","33","774137.79"
"2024-02-16","37","877172.67"
"2024-02-17","30","1208902.70"
"2024-02-18","30","754998.96"
"2024-02-19","19","503189.85"
"2024-02-20","30","748900.23"
"2024-02-21","45","923920.98"
"2024-02-22","31","672497.23"
"2024-02-23","30","827814.03"
"2024-02-24","33","535345.34"
"2024-02-25","28","804397.26"
"2024-02-26","38","860876.15"
"2024-02-27","34","677448.58"
"2024-02-28","38","792836.68"
"2024-02-29","33","630050.57"
"2024-03-01","23","550466.84"
"2024-03-02","34","919274.93"
"2024-03-03","34","735479.44"
"2024-03-04","31","795698.70"
"2024-03-05","32","683996.93"
"2024-03-06","29","557464.25"
"2024-03-07","22","502145.75"
"2024-03-08","34","792233.11"
"2024-03-09","24","706899.71"
"2024-03-10","38","701447.63"
"2024-03-11","29","1006624.30"
"2024-03-12","45","720686.33"
"2024-03-13","37","962413.49"
"2024-03-14","36","902364.09"
"2024-03-15","31","681199.27"
"2024-03-16","31","483298.70"
"2024-03-17","41","814075.18"
"2024-03-18","29","727575.51"
"2024-03-19","45","1210055.93"
"2024-03-20","37","1268881.79"
"2024-03-21","37","789507.91"
"2024-03-22","37","770094.40"
"2024-03-23","40","887583.88"
"2024-03-24","31","998074.37"
"2024-03-25","34","538290.65"
"2024-03-26","31","630553.19"
"2024-03-27","34","862318.57"
"2024-03-28","31","526827.61"
"2024-03-29","34","1171425.44"
"2024-03-30","43","928411.19"
"2024-03-31","28","868993.54"
"2024-04-01","32","661694.26"
"2024-04-02","41","833819.20"
"2024-04-03","40","1052092.47"
"2024-04-04","33","661172.93"
"2024-04-05","30","515974.41"
"2024-04-06","28","785855.66"
"2024-04-07","39","1163558.10"
"2024-04-08","36","772238.09"
"2024-04-09","38","1157913.72"
"2024-04-10","33","538984.61"
"2024-04-11","33","673519.22"
"2024-04-12","38","743507.05"
"2024-04-13","32","602459.06"
"2024-04-14","47","1775652.67"
"2024-04-15","54","1216671.58"
"2024-04-16","37","972008.14"
"2024-04-17","33","654932.76"
"2024-04-18","24","702538.70"
"2024-04-19","44","1080591.99"
"2024-04-20","28","478616.48"
"2024-04-21","24","487806.67"
"2024-04-22","35","773670.10"
"2024-04-23","32","490632.76"
"2024-04-24","37","1025685.41"
"2024-04-25","21","387082.88"
"2024-04-26","31","434809.65"
"2024-04-27","42","1207972.76"
"2024-04-28","46","820310.84"
"2024-04-29","31","877096.89"
"2024-04-30","37","816959.80"
"2024-05-01","34","828402.53"
"2024-05-02","21","661686.06"
"2024-05-03","37","1119412.13"
"2024-05-04","35","1231102.33"
"2024-05-05","30","562703.47"
"2024-05-06","31","760417.66"
"2024-05-07","27","760878.20"
"2024-05-08","39","907717.63"
"2024-05-09","32","710948.58"
"2024-05-10","27","750058.45"
"2024-05-11","40","1109901.16"
"2024-05-12","33","1059207.08"
"2024-05-13","28","589219.67"
"2024-05-14","36","989385.68"
"2024-05-15","33","524734.63"
"2024-05-16","30","748224.24"
"2024-05-17","26","695653.18"
"2024-05-18","34","797563.34"
"2024-05-19","35","787427.59"
"2024-05-20","30","689799.64"
"2024-05-21","29","914456.99"
"2024-05-22","36","1027171.66"
"2024-05-23","27","490405.94"
"2024-05-24","30","586439.94"
"2024-05-25","36","775338.97"
"2024-05-26","27","801146.26"
"2024-05-27","27","736001.23"
"2024-05-28","43","1005430.25"
"2024-05-29","27","902941.75"
"2024-05-30","34","1046169.67"
"2024-05-31","32","1189564.63"
"2024-06-01","30","987570.32"
"2024-06-02","32","580707.65"
"2024-06-03","38","1019223.27"
"2024-06-04","30","340230.95"
"2024-06-05","40","752673.88"
"2024-06-06","36","694551.74"
"2024-06-07","30","655847.36"
"2024-06-08","32","837840.82"
"2024-06-09","27","834033.58"
"2024-06-10","37","1088730.99"
"2024-06-11","28","536418.31"
"2024-06-12","33","797047.20"
"2024-06-13","28","484612.10"
"2024-06-14","27","522966.40"
"2024-06-15","42","978156.07"
"2024-06-16","34","1207869.19"
"2024-06-17","30","569099.72"
"2024-06-18","27","940256.23"
"2024-06-19","29","1009250.50"
"2024-06-20","34","577853.03"
"2024-06-21","30","428738.67"
"2024-06-22","35","688982.67"
"2024-06-23","39","748721.33"
"2024-06-24","30","415123.98"
"2024-06-25","30","922075.30"
"2024-06-26","31","655378.85"
"2024-06-27","37","727501.59"
"2024-06-28","39","994687.50"
"2024-06-29","39","1070956.78"
"2024-06-30","34","1093295.53"
"2024-07-01","38","811502.70"
"2024-07-02","26","776592.54"
"2024-07-03","41","1201035.88"
"2024-07-04","40","923675.69"
"2024-07-05","38","872574.91"
"2024-07-06","37","766714.03"
"2024-07-07","41","1057760.38"
"2024-07-08","32","825669.24"
